,Unnamed: 0,Datetime,Tweet Id,Text,Username,Follower Count,User ID
4,4,2021-11-27 06:06:49+00:00,1464475780205846528,"@mohitji01802434 @paytm hi mohit, we are sorry for the unpleasant experience. you can contact our customer care executive regarding this:- call us :- 7872478724 or
e-mail us : helpdesk-support@vmartretail.com",vmartretail,5178,582618108
11,11,2021-11-22 07:45:29+00:00,1462688674013855746,"@paytmcare @paytm name - anishkumar
acc no - 918451853106
ifsc - pytm0123456
money has gone into this account by mistake
 please help
 your customers care are not listening",AdeshSardar,180,3077486324
13,13,2021-11-18 09:22:02+00:00,1461263419143712768,"dear team, 
this is to inform you that, i am unable to log in to my account 9437365463. it is showing blocked. i repeatedly tried to contact your customer care helpline but it was unable. @paytm @paytmcare  please help me to unblock my account so that i can start the transition.",GOPALDAS1996,0,1461261645003382790
14,14,2021-11-17 19:46:22+00:00,1461058150950313985,"hii @googleplay @paytm 
+917381719235 this mobile number are using your name to fraud people through your platform.
he take money from people through using name of your customer care service..so plz take step about this one.
@cybercrimecid plz look this matter..i'm victim of this",vipulvalaki182,142,757151013266685952
15,15,2021-11-16 17:09:37+00:00,1460656313327763456,"i used @paytm rent pay 2 days ago and it's been 48 hours. amount is not credited yet in my landlord account.. 
the customer care is wrost no human interaction not even reply in via chat @paytmcare @paytmmoney @paytmbank @paytmfirstgames 
account details 6392402162... 
@rbi",abhitiwari492,1,825158389374279680
16,16,2021-11-16 13:54:18+00:00,1460607162514751488,"@paytm 
one of my transactions has not reached the beneficiary.

it's been more than a month ago that i am trying to talk to any of your customer care, but no use.

please help me out at least from your side and give me a call @ 9743444053

thank you.",Chandra_hb77,95,1344402085
17,17,2021-11-15 17:06:52+00:00,1460293235339763718,"@paytm @paytmcare @vijayshekhar why i am not getting any response from ur team. i am waiting for the reply from past 1 months. does anyone in ur company care about their customers???????
mobile number:- 9953082198",SamratG1815,1,876792870312845312
18,18,2021-11-14 06:04:47+00:00,1459764227334311941,@chandrakant183 @paytm please contact customer care 9339451748,customer674,1,1459763143505178627
22,22,2021-11-11 07:52:14+00:00,1458704103429730306,"@smar_rt @paytm @paytmcare hi praveen, we are sorry for the unpleasant experience. you can contact our customer care executive regarding this:- call us :-7872478724 or
e-mail us : helpdesk-support@vmartretail.com",vmartretail,5178,582618108
23,23,2021-11-11 05:55:39+00:00,1458674765942509571,"@flexsalaryindia @vivifiindia @paytm @paytmcare hi, your loan payment on 642466 with flexsalary of rs 6600.0  is  processed successfully vide utr no pytmr21300553292  on 26/oct, 03:05 pm  arn : 6352408064516156606100 if, payment is still not done, we would suggest you to kindly contact the flexsalary  customer care.",Rebel61345373,1,1397603417934077954
26,26,2021-11-08 14:13:11+00:00,1457712809941233665,@paytm some person attempted a fraud by posing as the customer care executive of yours.his no is 9861305543 &amp; 9827873869 . amount involved is rs 92000/- in approx . please help us to get money back @cyberdost @cyberpolice_up,graminsevak,198,328320782
32,32,2021-10-27 12:32:42+00:00,1453338869835857923,"@paytm 
hi, my account is blocked from past 6 months customer care people are not able to solve my problem i have sent them whatever they have asked including my bank statement of kotak mahindra. 9739906665 the number which is blocked. there is money which i am unable to use.",paneeshkumble1,14,1144718437
40,40,2021-10-17 06:16:35+00:00,1449620338308907008,@paytm @vijayshekhar @paytmcare i did rent payment of 49999 rs my mobile num 7045729283 on 16th oct    and it still showing processing also no customer care number for this .. kindly resolve it now .. why it will take  time ..,shyamag12985123,0,1264587543489605633
46,46,2021-10-09 09:59:11+00:00,1446777252071440388,@paytm @paytmcare @paytmmoney @paytmbank i transferred 300rs wrongly to 8778235114 now customer care told to print indemnity and sign and send but i don't have printer and due to covid local shops are closed i request you to reverse the amount,prateek2610,62,354109879
47,47,2021-10-09 08:45:31+00:00,1446758715726594049,@paytm fraud company no customer support doesnot care for customers.  need call back  at 9582226639,gauravshokeen90,14,1077254514
51,51,2021-10-01 18:27:56+00:00,1444006180276240387,@paytm @paytmmall @vijayshekhar you thiefs where is my money a customer send me ₹790 on my merchent a/c linked with 9560190149 i have taken pic of the transaction attached below i called your @paytm customer care agent vikrant kumar told me there is no such transaction @nch14404,GurvinderRaj13,7,999552081370365953
52,52,2021-09-30 09:39:21+00:00,1443510770772234245,#cred customer care number &gt; o9883915047 &lt; credit card payment pay rent and net banking up phone per google per paytm up solve complaint call me just now available nice support toll free nice today.... https://t.co/wxaeqmbkvu,Rajaa0143,30,1298677137491206144
59,59,2021-09-20 08:31:51+00:00,1439869905415782400,@paytm i tried to contact your customer care but no use .showing loan in cibil which is not belongs to me loan account no: pytmpph959996518235 .my email i’d chsunil99@gmail.com,csunilnew,0,1418549522947481601
60,60,2021-09-19 07:21:57+00:00,1439489926458793988,"@paytm very bad service, customer care number to lagta he nhi.17 september 2021 ko mane cab ki meru cab. cab nhi aei details nhi aei but mere paise jarur kat gaye. why return my money asap. kyu paise kate mere. transaction id: 11120210917203826312 please find and revert asap.",stutisharma2326,5,3108514674
62,62,2021-09-18 09:04:17+00:00,1439153293251416067,"@paytm @paytmcare #transactions please help. i contacted customer care at this number: 01204456456 but i am unable to talk to agent. need help regarding the wrong transaction done to different merchant. please reverse this transaction.
txn id: 126149565475
mb no: 7719558031",sumedha151089,3,588139282
